company,website,region,sector,target_persona,priority,contact_email,status,next_action
UNIBAGS,https://www.unibags.eu/,EU,Packaging,CEO / Head of Operations,high,info@unibags.eu,to_contact,Envoyer J0 angle packaging ecommerce premium
Multi Pack,https://www.multipack.fr/,EU,Packaging,Directeur Achats / COO,high,contact@multipack.fr,to_contact,Envoyer J0 angle fiabilisation fournisseurs
Packhelp FR,https://packhelp.fr/,EU,Packaging,Head of Supply Chain,high,hello@packhelp.com,to_contact,Envoyer J0 angle delais + qualite
Packiro,https://packiro.com/fr-fr,EU,Packaging,Operations Manager,medium,info@packiro.com,to_contact,Envoyer J0 angle audit usine
CustomPack EU,https://custompack.eu/,EU,Packaging,Head of Procurement,medium,hello@custompack.eu,to_contact,Rechercher decisionnaire LinkedIn puis J0
Europal Packaging,https://en.europal-packaging.com/,EU,Packaging,Sales Director / COO,medium,info@europal-packaging.com,to_contact,Envoyer J0 angle cout complet
Europe Packaging,https://www.europepackaging.com/en,EU,Packaging,Operations Director,medium,,to_contact,Recuperer email via page contact
All Packaging Co,https://www.allpackco.com/,US,Packaging,VP Operations,high,,to_contact,Identifier email direct et envoyer J0
Onyx Packaging,https://www.onyxpackaging.com/,US,Packaging,Supply Chain Director,high,,to_contact,Identifier email direct et envoyer J0
Pacron,https://www.pacron.com/,US,Packaging,COO / Procurement Lead,medium,,to_contact,Identifier email direct et envoyer J0
NAPCO USA,https://napcousa.com/,US,Packaging,Head of Manufacturing,medium,,to_contact,Identifier email direct et envoyer J0
B Living,https://www.b-living.eu/en/about-b-living,EU,Home decor wholesale,Buyer / COO,medium,,to_contact,Trouver contact buying et envoyer J0
Kersten BV,https://www.kerstenbv.nl/en_US/,EU,Home decor wholesale,Purchasing Manager,high,,to_contact,Envoyer J0 angle sourcing collections
BOLTZE,https://www.boltze.com/en/,EU,Home decor wholesale,Head of Buying,high,,to_contact,Envoyer J0 angle delais saisonniers
TICA,https://tica.nl/en/,EU,Home decor wholesale,Category Manager,medium,,to_contact,Trouver email commercial puis J0
Peri Living,https://www.peri-living.com/en,EU,Home decor wholesale,COO / Buyer,medium,,to_contact,Trouver email direct puis J0
CP International,https://www.cp-international.com/,EU,Home goods distributor,Directeur General / Achats,high,infos@cp-international.com,to_contact,Envoyer J0 angle multi-categories
VERSA Home FR,https://www.versa-home.fr/,EU,Home goods distributor,Head of Buying,medium,administration@versa.fr,to_contact,Envoyer J0 angle cout/qualite
Clayre & Eef,https://clayre-eef.com/fr/168-woondeco,EU,Home goods distributor,COO / Purchasing Manager,medium,info@clayre-eef.com,to_contact,Envoyer J0 angle pilotage delais
Superior Importers,https://www.superiorimporters.com/,US,Home goods importer,Owner / Operations,medium,,to_contact,Trouver email direct puis J0
Chesapeake Merchandising,https://www.chesapeakemerch.com/about.html,US,Home goods importer,Import Manager,medium,,to_contact,Trouver email direct puis J0
LumiSCOP,https://lumiscop.fr/,EU,LED professional,Responsable Achats / Technique,high,contact@lumiscop.fr,to_contact,Envoyer J0 angle conformite LED
CDLED-PRO,https://cdled-pro.com/,EU,LED professional,Direction Industrielle,high,contact@cdled-pro.com,to_contact,Envoyer J0 angle audit composants
LumenXL,https://www.lumenxl.pro/en/,EU,LED distributor,Procurement Manager,medium,,to_contact,Trouver email et envoyer J0
LedAlo,https://ledalo.com/wholesale/,EU,LED distributor,Wholesale Director,medium,,to_contact,Envoyer J0 angle fournisseurs Asie
Bioledex,https://www.bioledex.de/en/,EU,LED distributor,Head of Operations,medium,,to_contact,Trouver email direct puis J0
Italtesla,https://www.italtesla.com/,EU,LED manufacturer/distributor,Managing Director,medium,,to_contact,Trouver email direct puis J0
LED Direct Group,https://www.leddirectgroup.com/,US,LED distributor,VP Sales / Operations,high,,to_contact,Envoyer J0 angle cout complet LED
USA Light & Electric,http://directlighting.com/,US,LED distributor,Commercial Director,medium,,to_contact,Trouver email direct puis J0
LED World Lighting,https://www.ledworldlighting.com/,US,LED distributor,Operations Manager,medium,,to_contact,Trouver email direct puis J0
Nic Impex,https://www.nicimpex.com/en/contact/,EU,Sport/outdoor importer,Directeur Operations / Achats,high,info@nic-impex.com,to_contact,Envoyer J0 angle produits techniques
Sports Fusion,https://fr.linkedin.com/company/sports-fusion,EU,Sport/outdoor distributor,Import Manager,medium,,to_contact,Identifier email via site/LinkedIn
PFD Communication,https://www.pfdcom.net/,EU,Textile/promotional importer,Head of Procurement,medium,,to_contact,Trouver email direct puis J0
Road Nexora,https://road-nexora.com/,EU,Home accessories ecommerce,Founder / Ops,low,,to_contact,Qualifier potentiel B2B avant outreach
Mannequins Shopping,https://www.mannequins-shopping.com/,EU,Retail equipment / lighting,Purchasing Lead,medium,,to_contact,Envoyer J0 angle sourcing retail hardware
Auberon Technologies,https://auberon-technologies.com/,EU,LED display solutions,Operations Director,medium,,to_contact,Qualifier fit puis outreach
Electra Lighting (via distribution),https://www.electra-lighting.com/,EU,Lighting manufacturer,Procurement Manager,medium,,to_contact,Trouver contact achats
Artemide North America,https://www.artemide.net/en/company/contacts,US,Lighting design/commercial,Sourcing Manager,medium,,to_contact,Qualifier besoin import Asie
Hinkley Lighting,https://www.hinkley.com/,US,Lighting brand,Supply Chain Director,medium,,to_contact,Trouver contact operations
Kichler,https://www.kichler.com/,US,Lighting brand,Procurement Manager,medium,,to_contact,Trouver email decisionnaire
